,holland,dennis,dushku,soares,gerard,eyring,bednar,feo,nielson,alonso,gong,nelson1,cook,bowen,bangerter,spannaus,carpenter,uchtdorf,rasband,porter,renlund,pieper,kearon,taylor,oaks,christofferson,godoy,stevenson,held,andersen,pace,nelson
aaronic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059551351749106925,0.0,0.0,0.04207533268160015,0.04472362524220959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03400761549516266,0.0,0.03805961799678155
abandon,0.0,0.03894115058249573,0.038914580184525496,0.0,0.0,0.04368118620941107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04773835367589556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abide,0.0,0.04583122943568022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046766244278440665,0.0
ability,0.0,0.0,0.02603531807278038,0.028907803047665354,0.029477617853388028,0.0,0.0,0.0,0.0,0.0,0.0,0.025117585449005473,0.03663188511323131,0.0,0.0300475132085676,0.054077012099147656,0.0,0.0,0.02553316713766816,0.0,0.0,0.03028957214314608,0.0,0.0,0.0,0.0,0.031015310602983723,0.03739649224214492,0.0,0.02428606527048681,0.0,0.0
abinadi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04961335573010249,0.0,0.0,0.0,0.0,0.0,0.0
able,0.0,0.0,0.0,0.02676614819339167,0.0,0.04581529260223563,0.0,0.02982912583650997,0.0,0.0,0.037011039922796446,0.0,0.0,0.042607586771457664,0.0471057624352634,0.050070678747706425,0.0,0.0,0.0,0.0,0.020644117452652152,0.028045547956760158,0.026659068804015463,0.02214078171294663,0.0,0.0,0.0,0.02045064203251823,0.08201868964283089,0.02248681509945224,0.0,0.0
abode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050276422470271705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abound,0.0,0.0,0.0,0.0,0.0,0.0,0.04304791323691532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838278858235031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03910565088441602,0.0,0.0
abraham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032365983415168886,0.0,0.0,0.0,0.0,0.0,0.0,0.05346271212057831,0.03572864568710295,0.0,0.0409553130757723,0.0,0.0,0.0,0.035104631564039805,0.10573019013843994
abrahamic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04311782859604978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058966317118943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0.0,0.0,0.0,0.0,0.08036546410120289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04877255415712141,0.0,0.0,0.0,0.0,0.0,0.03556464817933701,0.0,0.0,0.0,0.0
absolutely,0.0,0.0,0.05126518945015407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043490643609607436,0.0,0.0,0.0,0.0
abundant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05621009307847937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abundantly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559868583691817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05621009307847937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accelerate,0.0,0.0,0.0,0.05085308178598228,0.0,0.08704460592971748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04206533473247515,0.0,0.0,0.0,0.03885423350201199,0.0,0.0,0.0,0.0
accept,0.0,0.0,0.0,0.0,0.03688697980208418,0.0,0.0,0.0,0.0,0.0,0.029542449288719,0.0,0.0,0.0,0.0,0.0,0.0,0.04906457856329909,0.0,0.0,0.0,0.037903023284141815,0.0,0.0,0.0,0.03152968539737352,0.06571304018009481,0.0,0.0,0.0,0.0,0.07137700589503057
acceptable,0.05811049131824634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceptance,0.0,0.0,0.0,0.0,0.05185546992563093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885423350201199,0.0,0.0,0.0,0.0
access,0.0,0.028306340712871497,0.0,0.03140794338396892,0.0,0.05376059737001136,0.0,0.0,0.0,0.0,0.0,0.0,0.02350655408688529,0.0,0.0,0.07282401173959688,0.045089333513956685,0.0,0.0,0.0,0.04101518306404517,0.0,0.031282294247798166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028883825738620434,0.02953043289290503
accessible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053518641390961776
accident,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074053818706524,0.0,0.03233806416937324,0.0,0.0,0.0,0.0,0.034613228495626015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033013047570384105,0.0,0.0,0.0,0.0
accompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05618497161676302,0.0,0.0,0.0,0.0,0.0,0.05328381706897706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accomplish,0.0,0.0,0.0,0.08610175204872021,0.0,0.051409946476673525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accord,0.08746923193222113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052267246632176044,0.0,0.0,0.04713710217883941,0.044534936338087534,0.02900134666325013,0.0,0.025324390798969098,0.0,0.0,0.0,0.0,0.04845594995569149,0.05964641186568325,0.0,0.036039396862976296,0.0,0.0,0.0
accordingly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260143571466291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037542859674869755,0.03233806416937324,0.040622897421086525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04044193256934041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accountable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038059821455776494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885423350201199,0.0,0.0,0.0,0.0
accuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043490643609607436,0.0,0.0,0.0,0.0
